MonthEndingDate,NHSBoardName,LocationCode,LocationName,DepartmentType,AttendanceCategory,NumberOfAttendancesAll,NumberWithin4HoursAll,NumberOver4HoursAll,PercentageWithin4HoursAll,NumberOfAttendancesEpisode,NumberWithin4HoursEpisode,NumberOver4HoursEpisode,PercentageWithin4HoursEpisode,NumberOver8HoursEpisode,PercentageOver8HoursEpisode,NumberOver12HoursEpisode,PercentageOver12HoursEpisode
2007-07-31,NHS Fife,F805H,Queen Margaret Hospital - Type 1,Type 1,Unplanned,3638,3570,68,98.1,3638,3570,68,98.1,2,0.1,0,0
2007-07-31,NHS Fife,F805H,Queen Margaret Hospital - Type 1,Type 1,All,3638,3570,68,98.1,3638,3570,68,98.1,2,0.1,0,0
2007-07-31,NHS Forth Valley,V102H,Falkirk Community Hospital,Type 3,Unplanned,1772,1768,4,99.8,1772,1768,4,99.8,0,0,0,0
2007-07-31,NHS Forth Valley,V102H,Falkirk Community Hospital,Type 3,All,1772,1768,4,99.8,1772,1768,4,99.8,0,0,0,0
2007-07-31,NHS Forth Valley,V201H,Stirling Royal Infirmary - Type 1,Type 1,Unplanned,4195,4003,192,95.4,4195,4003,192,95.4,5,0.1,1,0
2007-07-31,NHS Forth Valley,V201H,Stirling Royal Infirmary - Type 1,Type 1,All,4195,4003,192,95.4,4195,4003,192,95.4,5,0.1,1,0
2007-07-31,NHS Grampian,N101H,Aberdeen Royal Infirmary - Type 1,Type 1,Unplanned,5312,5168,144,97.3,5312,5168,144,97.3,8,0.2,0,0
2007-07-31,NHS Grampian,N101H,Aberdeen Royal Infirmary - Type 1,Type 1,All,5312,5168,144,97.3,5312,5168,144,97.3,8,0.2,0,0
2007-07-31,NHS Grampian,N121H,Royal Aberdeen Children's Hospital - Type 1,Type 1,Unplanned,1333,1324,9,99.3,1333,1324,9,99.3,0,0,0,0
2007-07-31,NHS Grampian,N121H,Royal Aberdeen Children's Hospital - Type 1,Type 1,All,1333,1324,9,99.3,1333,1324,9,99.3,0,0,0,0
2007-07-31,NHS Grampian,N151H,Aboyne Hospital,Type 3,Unplanned,72,72,0,100,,,,,,,,
2007-07-31,NHS Grampian,N151H,Aboyne Hospital,Type 3,All,72,72,0,100,,,,,,,,
2007-07-31,NHS Grampian,N331H,Inverurie Hospital,Type 3,Unplanned,40,40,0,100,,,,,,,,
2007-07-31,NHS Grampian,N331H,Inverurie Hospital,Type 3,All,40,40,0,100,,,,,,,,
2007-07-31,NHS Grampian,N332H,Insch War Memorial Hospital,Type 3,Unplanned,62,62,0,100,,,,,,,,
2007-07-31,NHS Grampian,N332H,Insch War Memorial Hospital,Type 3,All,62,62,0,100,,,,,,,,
2007-07-31,NHS Grampian,N333H,Peterhead Community Hospital,Type 3,Unplanned,1114,1113,1,99.9,,,,,,,,
2007-07-31,NHS Grampian,N333H,Peterhead Community Hospital,Type 3,All,1114,1113,1,99.9,,,,,,,,
2007-07-31,NHS Grampian,N334H,Fraserburgh Hospital,Type 3,Unplanned,904,898,6,99.3,,,,,,,,
2007-07-31,NHS Grampian,N334H,Fraserburgh Hospital,Type 3,All,904,898,6,99.3,,,,,,,,
2007-07-31,NHS Grampian,N335H,Jubilee Hospital,Type 3,Unplanned,279,277,2,99.3,,,,,,,,
2007-07-31,NHS Grampian,N335H,Jubilee Hospital,Type 3,All,279,277,2,99.3,,,,,,,,
2007-07-31,NHS Grampian,N336H,Turriff Hospital,Type 3,Unplanned,178,178,0,100,,,,,,,,
2007-07-31,NHS Grampian,N336H,Turriff Hospital,Type 3,All,178,178,0,100,,,,,,,,
2007-07-31,NHS Grampian,N337H,Chalmers Hospital,Type 3,Unplanned,359,359,0,100,,,,,,,,
2007-07-31,NHS Grampian,N337H,Chalmers Hospital,Type 3,All,359,359,0,100,,,,,,,,
2007-07-31,NHS Grampian,N411H,Dr Gray's Hospital - Type 1,Type 1,Unplanned,1925,1850,75,96.1,1925,1850,75,96.1,1,0.1,1,0.1
2007-07-31,NHS Grampian,N411H,Dr Gray's Hospital - Type 1,Type 1,All,1925,1850,75,96.1,1925,1850,75,96.1,1,0.1,1,0.1
2007-07-31,NHS Grampian,N431H,Seafield Hospital,Type 3,Unplanned,107,107,0,100,,,,,,,,
2007-07-31,NHS Grampian,N431H,Seafield Hospital,Type 3,All,107,107,0,100,,,,,,,,
2007-07-31,NHS Grampian,N432H,Stephen Hospital,Type 3,Unplanned,37,37,0,100,,,,,,,,
2007-07-31,NHS Grampian,N432H,Stephen Hospital,Type 3,All,37,37,0,100,,,,,,,,
2007-07-31,NHS Grampian,N433H,Turner Memorial Hospital,Type 3,Unplanned,113,113,0,100,,,,,,,,
2007-07-31,NHS Grampian,N433H,Turner Memorial Hospital,Type 3,All,113,113,0,100,,,,,,,,
2007-07-31,NHS Grampian,N434H,Leanchoil Hospital,Type 3,Unplanned,62,62,0,100,,,,,,,,
2007-07-31,NHS Grampian,N434H,Leanchoil Hospital,Type 3,All,62,62,0,100,,,,,,,,
2007-07-31,NHS Grampian,N451H,Fleming Hospital,Type 3,Unplanned,32,32,0,100,,,,,,,,
2007-07-31,NHS Grampian,N451H,Fleming Hospital,Type 3,All,32,32,0,100,,,,,,,,
2007-07-31,NHS Grampian,N494H,Kincardine Community Hospital,Type 3,Unplanned,153,153,0,100,153,153,0,100,0,0,0,0
2007-07-31,NHS Grampian,N494H,Kincardine Community Hospital,Type 3,All,153,153,0,100,153,153,0,100,0,0,0,0
2007-07-31,NHS Greater Glasgow & Clyde,C206H,Vale Of Leven District General Hospital,Type 3,Unplanned,1382,1354,28,98,1382,1354,28,98,1,0.1,1,0.1
2007-07-31,NHS Greater Glasgow & Clyde,C206H,Vale Of Leven District General Hospital,Type 3,All,1382,1354,28,98,1382,1354,28,98,1,0.1,1,0.1
2007-07-31,NHS Greater Glasgow & Clyde,C313H,Inverclyde Royal Hospital - Type 1,Type 1,Unplanned,2693,2648,45,98.3,2693,2648,45,98.3,1,0,0,0
2007-07-31,NHS Greater Glasgow & Clyde,C313H,Inverclyde Royal Hospital - Type 1,Type 1,All,2693,2648,45,98.3,2693,2648,45,98.3,1,0,0,0
2007-07-31,NHS Greater Glasgow & Clyde,C418H,Royal Alexandra Hospital - Type 1,Type 1,Unplanned,5479,5324,155,97.2,5479,5324,155,97.2,4,0.1,0,0
2007-07-31,NHS Greater Glasgow & Clyde,C418H,Royal Alexandra Hospital - Type 1,Type 1,All,5479,5324,155,97.2,5479,5324,155,97.2,4,0.1,0,0
2007-07-31,NHS Greater Glasgow & Clyde,G107H,Glasgow Royal Infirmary - Type 1,Type 1,Unplanned,6200,5951,249,96,6200,5951,249,96,6,0.1,2,0
2007-07-31,NHS Greater Glasgow & Clyde,G107H,Glasgow Royal Infirmary - Type 1,Type 1,All,6200,5951,249,96,6200,5951,249,96,6,0.1,2,0
2007-07-31,NHS Greater Glasgow & Clyde,G207H,Stobhill Hospital - Type 1,Type 1,Unplanned,3390,3264,126,96.3,3390,3264,126,96.3,1,0,0,0
2007-07-31,NHS Greater Glasgow & Clyde,G207H,Stobhill Hospital - Type 1,Type 1,All,3390,3264,126,96.3,3390,3264,126,96.3,1,0,0,0
2007-07-31,NHS Greater Glasgow & Clyde,G306H,Victoria Infirmary - Type 1,Type 1,Unplanned,5864,5744,120,98,5864,5744,120,98,1,0,0,0
2007-07-31,NHS Greater Glasgow & Clyde,G306H,Victoria Infirmary - Type 1,Type 1,All,5864,5744,120,98,5864,5744,120,98,1,0,0,0
2007-07-31,NHS Greater Glasgow & Clyde,G405H,Southern General Hospital - Type 1,Type 1,Unplanned,4186,3952,234,94.4,4186,3952,234,94.4,4,0.1,0,0
2007-07-31,NHS Greater Glasgow & Clyde,G405H,Southern General Hospital - Type 1,Type 1,All,4186,3952,234,94.4,4186,3952,234,94.4,4,0.1,0,0
2007-07-31,NHS Greater Glasgow & Clyde,G513H,Royal Hospital For Children Glasgow - Type 1,Type 1,Unplanned,2981,2942,39,98.7,2981,2942,39,98.7,1,0,0,0
2007-07-31,NHS Greater Glasgow & Clyde,G513H,Royal Hospital For Children Glasgow - Type 1,Type 1,All,2981,2942,39,98.7,2981,2942,39,98.7,1,0,0,0
2007-07-31,NHS Greater Glasgow & Clyde,G516H,Western Infirmary/Gartnavel General - Type 1,Type 1,Unplanned,5040,4529,511,89.9,5040,4529,511,89.9,40,0.8,6,0.1
2007-07-31,NHS Greater Glasgow & Clyde,G516H,Western Infirmary/Gartnavel General - Type 1,Type 1,All,5040,4529,511,89.9,5040,4529,511,89.9,40,0.8,6,0.1
2007-07-31,NHS Highland,C103B,Campbeltown Hospital (2007-2009),Type 3,Unplanned,401,401,0,100,,,,,,,,
2007-07-31,NHS Highland,C103B,Campbeltown Hospital (2007-2009),Type 3,All,401,401,0,100,,,,,,,,
2007-07-31,NHS Highland,C106H,Cowal Community Hospital,Type 3,Unplanned,615,612,3,99.5,,,,,,,,
2007-07-31,NHS Highland,C106H,Cowal Community Hospital,Type 3,All,615,612,3,99.5,,,,,,,,
2007-07-31,NHS Highland,C108H,Islay Hospital,Type 3,Unplanned,110,110,0,100,,,,,,,,
2007-07-31,NHS Highland,C108H,Islay Hospital,Type 3,All,110,110,0,100,,,,,,,,
2007-07-31,NHS Highland,C110H,Mid Argyll Community Hospital And Integrated Care Centre (2007-2009),Type 3,Unplanned,468,467,1,99.8,,,,,,,,
2007-07-31,NHS Highland,C110H,Mid Argyll Community Hospital And Integrated Care Centre (2007-2009),Type 3,All,468,467,1,99.8,,,,,,,,
2007-07-31,NHS Highland,C113H,Victoria Hospital (NHS Highland),Type 3,Unplanned,369,363,6,98.4,,,,,,,,
2007-07-31,NHS Highland,C113H,Victoria Hospital (NHS Highland),Type 3,All,369,363,6,98.4,,,,,,,,
2007-07-31,NHS Highland,C117J,Dunaros Hospital,Type 3,Unplanned,67,65,2,97,,,,,,,,
2007-07-31,NHS Highland,C117J,Dunaros Hospital,Type 3,All,67,65,2,97,,,,,,,,
2007-07-31,NHS Highland,C121H,Lorn & Islands Hospital - Type 1,Type 1,Unplanned,616,611,5,99.2,,,,,,,,
2007-07-31,NHS Highland,C121H,Lorn & Islands Hospital - Type 1,Type 1,All,616,611,5,99.2,,,,,,,,
2007-07-31,NHS Highland,C122H,Campbeltown Hospital,Type 3,Unplanned,211,211,0,100,,,,,,,,
2007-07-31,NHS Highland,C122H,Campbeltown Hospital,Type 3,All,211,211,0,100,,,,,,,,
2007-07-31,NHS Highland,H101H,Dunbar Hospital,Type 3,Unplanned,199,199,0,100,,,,,,,,
2007-07-31,NHS Highland,H101H,Dunbar Hospital,Type 3,All,199,199,0,100,,,,,,,,
2007-07-31,NHS Highland,H103H,Caithness General Hospital - Type 1,Type 1,Unplanned,496,488,8,98.4,,,,,,,,
2007-07-31,NHS Highland,H103H,Caithness General Hospital - Type 1,Type 1,All,496,488,8,98.4,,,,,,,,
2007-07-31,NHS Highland,H106H,Lawson Memorial Hospital,Type 3,Unplanned,73,72,1,98.6,,,,,,,,
2007-07-31,NHS Highland,H106H,Lawson Memorial Hospital,Type 3,All,73,72,1,98.6,,,,,,,,
2007-07-31,NHS Highland,H202H,Raigmore Hospital - Type 1,Type 1,Unplanned,2618,2553,65,97.5,2618,2553,65,97.5,3,0.1,1,0
2007-07-31,NHS Highland,H202H,Raigmore Hospital - Type 1,Type 1,All,2618,2553,65,97.5,2618,2553,65,97.5,3,0.1,1,0
2007-07-31,NHS Highland,H208H,Nairn Town And County Hospital,Type 3,Unplanned,281,280,1,99.6,,,,,,,,
2007-07-31,NHS Highland,H208H,Nairn Town And County Hospital,Type 3,All,281,280,1,99.6,,,,,,,,
2007-07-31,NHS Highland,H210H,Ian Charles Community Hospital,Type 3,Unplanned,113,111,2,98.2,,,,,,,,
2007-07-31,NHS Highland,H210H,Ian Charles Community Hospital,Type 3,All,113,111,2,98.2,,,,,,,,
2007-07-31,NHS Highland,H212H,Belford Hospital - Type 1,Type 1,Unplanned,896,879,17,98.1,,,,,,,,
2007-07-31,NHS Highland,H212H,Belford Hospital - Type 1,Type 1,All,896,879,17,98.1,,,,,,,,
2007-07-31,NHS Highland,H214H,Dr Mackinnon Memorial Hospital,Type 3,Unplanned,300,296,4,98.7,,,,,,,,
2007-07-31,NHS Highland,H214H,Dr Mackinnon Memorial Hospital,Type 3,All,300,296,4,98.7,,,,,,,,
2007-07-31,NHS Highland,H215H,Portree Community Hospital,Type 3,Unplanned,153,152,1,99.3,,,,,,,,
2007-07-31,NHS Highland,H215H,Portree Community Hospital,Type 3,All,153,152,1,99.3,,,,,,,,
2007-07-31,NHS Highland,H217H,Ross Memorial Hospital,Type 3,Unplanned,185,185,0,100,,,,,,,,
2007-07-31,NHS Highland,H217H,Ross Memorial Hospital,Type 3,All,185,185,0,100,,,,,,,,
2007-07-31,NHS Highland,H219H,County Community Hospital,Type 3,Unplanned,91,91,0,100,,,,,,,,
2007-07-31,NHS Highland,H219H,County Community Hospital,Type 3,All,91,91,0,100,,,,,,,,
2007-07-31,NHS Highland,H227B,Aviemore Health Centre,Type 3,Unplanned,202,202,0,100,,,,,,,,
2007-07-31,NHS Highland,H227B,Aviemore Health Centre,Type 3,All,202,202,0,100,,,,,,,,
2007-07-31,NHS Lanarkshire,L106H,University Hospital Monklands - Type 1,Type 1,Unplanned,5662,5443,219,96.1,5662,5443,219,96.1,3,0.1,0,0
2007-07-31,NHS Lanarkshire,L106H,University Hospital Monklands - Type 1,Type 1,All,5662,5443,219,96.1,5662,5443,219,96.1,3,0.1,0,0
2007-07-31,NHS Lanarkshire,L206H,Kello Hospital,Type 3,Unplanned,165,165,0,100,,,,,,,,
2007-07-31,NHS Lanarkshire,L206H,Kello Hospital,Type 3,All,165,165,0,100,,,,,,,,
2007-07-31,NHS Lanarkshire,L207H,Lady Home Hospital,Type 3,Unplanned,166,166,0,100,,,,,,,,
2007-07-31,NHS Lanarkshire,L207H,Lady Home Hospital,Type 3,All,166,166,0,100,,,,,,,,
2007-07-31,NHS Lanarkshire,L302H,University Hospital Hairmyres - Type 1,Type 1,Unplanned,4545,4270,275,93.9,4545,4270,275,93.9,87,1.9,45,1
2007-07-31,NHS Lanarkshire,L302H,University Hospital Hairmyres - Type 1,Type 1,All,4545,4270,275,93.9,4545,4270,275,93.9,87,1.9,45,1
2007-07-31,NHS Lanarkshire,L308H,University Hospital Wishaw - Type 1,Type 1,Unplanned,5555,5351,204,96.3,5555,5351,204,96.3,44,0.8,20,0.4
2007-07-31,NHS Lanarkshire,L308H,University Hospital Wishaw - Type 1,Type 1,All,5555,5351,204,96.3,5555,5351,204,96.3,44,0.8,20,0.4
2007-07-31,NHS Lothian,S116H,Western General Hospital,Type 3,Unplanned,2761,2600,161,94.2,2761,2600,161,94.2,4,0.1,0,0
2007-07-31,NHS Lothian,S116H,Western General Hospital,Type 3,All,2761,2600,161,94.2,2761,2600,161,94.2,4,0.1,0,0
2007-07-31,NHS Lothian,S308H,St John's Hospital - Type 1,Type 1,Unplanned,3900,3642,258,93.4,3900,3642,258,93.4,2,0.1,0,0
2007-07-31,NHS Lothian,S308H,St John's Hospital - Type 1,Type 1,All,3900,3642,258,93.4,3900,3642,258,93.4,2,0.1,0,0
2007-07-31,NHS Lothian,S314H,Royal Infirmary Of Edinburgh - Type 1,Type 1,Unplanned,8947,8468,479,94.6,8947,8468,479,94.6,19,0.2,0,0
2007-07-31,NHS Lothian,S314H,Royal Infirmary Of Edinburgh - Type 1,Type 1,All,8947,8468,479,94.6,8947,8468,479,94.6,19,0.2,0,0
2007-07-31,NHS Lothian,S319H,Royal Hospital for Children and Young People Edinburgh - Type 1,Type 1,Unplanned,2620,2603,17,99.4,2620,2603,17,99.4,0,0,0,0
2007-07-31,NHS Lothian,S319H,Royal Hospital for Children and Young People Edinburgh - Type 1,Type 1,All,2620,2603,17,99.4,2620,2603,17,99.4,0,0,0,0
2007-07-31,NHS Orkney,R103H,Balfour Hospital - Type 3,Type 3,Unplanned,225,225,0,100,,,,,,,,
2007-07-31,NHS Orkney,R103H,Balfour Hospital - Type 3,Type 3,All,225,225,0,100,,,,,,,,
2007-07-31,NHS Shetland,Z102H,Gilbert Bain Hospital - Type 1,Type 1,Unplanned,802,791,11,98.6,802,791,11,98.6,0,0,0,0
2007-07-31,NHS Shetland,Z102H,Gilbert Bain Hospital - Type 1,Type 1,All,802,791,11,98.6,802,791,11,98.6,0,0,0,0
2007-07-31,NHS Tayside,T101H,Ninewells Hospital - Type 1,Type 1,Unplanned,3940,3927,13,99.7,3940,3927,13,99.7,0,0,0,0
2007-07-31,NHS Tayside,T101H,Ninewells Hospital - Type 1,Type 1,All,3940,3927,13,99.7,3940,3927,13,99.7,0,0,0,0
2007-07-31,NHS Tayside,T202H,Perth Royal Infirmary - Type 1,Type 1,Unplanned,2208,2192,16,99.3,2208,2192,16,99.3,0,0,0,0
2007-07-31,NHS Tayside,T202H,Perth Royal Infirmary - Type 1,Type 1,All,2208,2192,16,99.3,2208,2192,16,99.3,0,0,0,0
2007-07-31,NHS Tayside,T208H,Irvine Memorial Hospital,Type 3,Unplanned,78,78,0,100,78,78,0,100,0,0,0,0
2007-07-31,NHS Tayside,T208H,Irvine Memorial Hospital,Type 3,All,78,78,0,100,78,78,0,100,0,0,0,0
2007-07-31,NHS Tayside,T209H,Blairgowrie Community Hospital,Type 3,Unplanned,167,166,1,99.4,167,166,1,99.4,0,0,0,0
2007-07-31,NHS Tayside,T209H,Blairgowrie Community Hospital,Type 3,All,167,166,1,99.4,167,166,1,99.4,0,0,0,0
2007-07-31,NHS Tayside,T304H,Arbroath Infirmary,Type 3,Unplanned,847,846,1,99.9,847,846,1,99.9,0,0,0,0
2007-07-31,NHS Tayside,T304H,Arbroath Infirmary,Type 3,All,847,846,1,99.9,847,846,1,99.9,0,0,0,0
2007-07-31,NHS Tayside,T305H,Brechin Infirmary,Type 3,Unplanned,228,228,0,100,228,228,0,100,0,0,0,0
2007-07-31,NHS Tayside,T305H,Brechin Infirmary,Type 3,All,228,228,0,100,228,228,0,100,0,0,0,0
2007-07-31,NHS Tayside,T319H,Whitehills Health And Community Care Centre,Type 3,Unplanned,504,504,0,100,504,504,0,100,0,0,0,0
2007-07-31,NHS Tayside,T319H,Whitehills Health And Community Care Centre,Type 3,All,504,504,0,100,504,504,0,100,0,0,0,0
2007-07-31,NHS Tayside,T357C,Links Health Centre,Type 3,Unplanned,444,444,0,100,444,444,0,100,0,0,0,0
2007-07-31,NHS Tayside,T357C,Links Health Centre,Type 3,All,444,444,0,100,444,444,0,100,0,0,0,0
2007-07-31,NHS Western Isles,W106H,St Brendan's Hospital,Type 3,Unplanned,57,57,0,100,,,,,,,,
2007-07-31,NHS Western Isles,W106H,St Brendan's Hospital,Type 3,All,57,57,0,100,,,,,,,,
2007-07-31,NHS Western Isles,W107H,Western Isles Hospital - Type 1,Type 1,Unplanned,776,762,14,98.2,776,762,14,98.2,1,0.1,0,0
2007-07-31,NHS Western Isles,W107H,Western Isles Hospital - Type 1,Type 1,All,776,762,14,98.2,776,762,14,98.2,1,0.1,0,0
2007-07-31,NHS Western Isles,W108H,Uist & Barra Hospital,Type 3,Unplanned,135,135,0,100,,,,,,,,
2007-07-31,NHS Western Isles,W108H,Uist & Barra Hospital,Type 3,All,135,135,0,100,,,,,,,,
2007-08-31,NHS Ayrshire & Arran,A101H,Arran War Memorial Hospital,Type 3,Unplanned,265,265,0,100,,,,,,,,
2007-08-31,NHS Ayrshire & Arran,A101H,Arran War Memorial Hospital,Type 3,All,265,265,0,100,,,,,,,,
2007-08-31,NHS Ayrshire & Arran,A111H,University Hospital Crosshouse - Type 1,Type 1,Unplanned,5655,5508,147,97.4,5655,5508,147,97.4,5,0.1,3,0.1
2007-08-31,NHS Ayrshire & Arran,A111H,University Hospital Crosshouse - Type 1,Type 1,All,5655,5508,147,97.4,5655,5508,147,97.4,5,0.1,3,0.1
2007-08-31,NHS Ayrshire & Arran,A207H,Davidson Cottage Hospital,Type 3,Unplanned,86,86,0,100,,,,,,,,
2007-08-31,NHS Ayrshire & Arran,A207H,Davidson Cottage Hospital,Type 3,All,86,86,0,100,,,,,,,,
2007-08-31,NHS Ayrshire & Arran,A210H,University Hospital Ayr - Type 1,Type 1,Unplanned,3558,3388,170,95.2,3558,3388,170,95.2,1,0,0,0
2007-08-31,NHS Ayrshire & Arran,A210H,University Hospital Ayr - Type 1,Type 1,All,3558,3388,170,95.2,3558,3388,170,95.2,1,0,0,0
2007-08-31,NHS Borders,B103H,Knoll Community Hospital,Type 3,Unplanned,14,14,0,100,,,,,,,,
2007-08-31,NHS Borders,B103H,Knoll Community Hospital,Type 3,All,14,14,0,100,,,,,,,,
2007-08-31,NHS Borders,B105H,Hawick Community  Hospital,Type 3,Unplanned,106,106,0,100,,,,,,,,
2007-08-31,NHS Borders,B105H,Hawick Community  Hospital,Type 3,All,106,106,0,100,,,,,,,,
2007-08-31,NHS Borders,B114H,Kelso Community Hospital,Type 3,Unplanned,28,28,0,100,,,,,,,,
2007-08-31,NHS Borders,B114H,Kelso Community Hospital,Type 3,All,28,28,0,100,,,,,,,,
2007-08-31,NHS Borders,B118H,Hay Lodge Hospital,Type 3,Unplanned,122,122,0,100,,,,,,,,
2007-08-31,NHS Borders,B118H,Hay Lodge Hospital,Type 3,All,122,122,0,100,,,,,,,,
2007-08-31,NHS Borders,B120H,Borders General Hospital - Type 1,Type 1,Unplanned,2005,1993,12,99.4,2005,1993,12,99.4,0,0,0,0
2007-08-31,NHS Borders,B120H,Borders General Hospital - Type 1,Type 1,All,2005,1993,12,99.4,2005,1993,12,99.4,0,0,0,0
2007-08-31,NHS Dumfries & Galloway,Y101H,Castle Douglas Hospital,Type 3,Unplanned,92,92,0,100,,,,,,,,
2007-08-31,NHS Dumfries & Galloway,Y101H,Castle Douglas Hospital,Type 3,All,92,92,0,100,,,,,,,,
2007-08-31,NHS Dumfries & Galloway,Y106H,Kirkcudbright Hospital,Type 3,Unplanned,77,77,0,100,,,,,,,,
2007-08-31,NHS Dumfries & Galloway,Y106H,Kirkcudbright Hospital,Type 3,All,77,77,0,100,,,,,,,,
2007-08-31,NHS Dumfries & Galloway,Y109H,Moffat Hospital,Type 3,Unplanned,10,10,0,100,,,,,,,,
2007-08-31,NHS Dumfries & Galloway,Y109H,Moffat Hospital,Type 3,All,10,10,0,100,,,,,,,,
2007-08-31,NHS Dumfries & Galloway,Y110H,Newton Stewart Hospital,Type 3,Unplanned,62,62,0,100,,,,,,,,
2007-08-31,NHS Dumfries & Galloway,Y110H,Newton Stewart Hospital,Type 3,All,62,62,0,100,,,,,,,,
